epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,117.544,0.56046,5.37774,0.74133,1.07782,0.75618,0.49241,0.54063,0.26217,0,0,0,0,1.72425,5.18216,1.90711,1.41554,2.04848e-05,2.04848e-05,2.04848e-05
81,119.078,0.49063,5.42143,0.68962,0.98631,0.7548,0.49799,0.55986,0.27089,0.0045,0.16667,0.04146,0.00415,1.74419,5.1881,1.94062,1.43424,1.98016e-05,1.98016e-05,1.98016e-05
82,120.436,0.65213,5.51298,0.83656,1.05193,0.7548,0.49799,0.55986,0.27089,0.0045,0.16667,0.04146,0.00415,1.74419,5.1881,1.94062,1.43424,1.90949e-05,1.90949e-05,1.90949e-05
83,121.772,0.69546,5.42549,1.06464,1.09491,0.7548,0.49799,0.55986,0.27089,0.0045,0.16667,0.04146,0.00415,1.74419,5.1881,1.94062,1.43424,1.83646e-05,1.83646e-05,1.83646e-05
84,123.213,0.64031,5.717,0.67801,1.02803,0.77533,0.49968,0.56162,0.27026,0.00476,0.16667,0.03317,0.00332,1.75091,5.19188,1.95506,1.44212,1.76107e-05,1.76107e-05,1.76107e-05
85,124.658,0.59899,5.7456,0.79668,1.04674,0.77533,0.49968,0.56162,0.27026,0.00476,0.16667,0.03317,0.00332,1.75091,5.19188,1.95506,1.44212,1.68333e-05,1.68333e-05,1.68333e-05
86,125.994,0.63328,5.43525,0.80699,1.03729,0.77533,0.49968,0.56162,0.27026,0.00476,0.16667,0.03317,0.00332,1.75091,5.19188,1.95506,1.44212,1.60323e-05,1.60323e-05,1.60323e-05
87,127.333,0.65662,5.7314,0.84996,0.98203,0.77533,0.49968,0.56162,0.27026,0.00476,0.16667,0.03317,0.00332,1.75091,5.19188,1.95506,1.44212,1.52077e-05,1.52077e-05,1.52077e-05
88,128.804,0.55176,5.50196,0.85571,1.067,0.75077,0.48333,0.54159,0.26603,0,0,0,0,1.70918,5.19542,1.94896,1.42014,1.43596e-05,1.43596e-05,1.43596e-05
89,130.187,0.83452,5.23925,1.09798,1.3104,0.75077,0.48333,0.54159,0.26603,0,0,0,0,1.70918,5.19542,1.94896,1.42014,1.34879e-05,1.34879e-05,1.34879e-05
90,131.577,0.64666,5.36299,0.86681,1.00853,0.75077,0.48333,0.54159,0.26603,0,0,0,0,1.70918,5.19542,1.94896,1.42014,1.25927e-05,1.25927e-05,1.25927e-05
